ZFIN:ZDB-GENE-040426-1827	zgc:77375
ZFIN:ZDB-GENE-040426-958	hmgcl
ZFIN:ZDB-GENE-070912-328	dgkh
ZFIN:ZDB-GENE-070912-300	oc90
ZFIN:ZDB-GENE-040426-903	aacs
ZFIN:ZDB-GENE-131127-147	nkl.3
UniProtKB:E7FCW9	cyp7a1b
UniProtKB:E7FCU2	acot12
UniProtKB:E7FCM3	cers4b
ZFIN:ZDB-GENE-070912-293	cyp7b1
ZFIN:ZDB-GENE-101026-1	gpam
ZFIN:ZDB-GENE-040426-881	gde1
UniProtKB:A5WV69	acbd5b
ZFIN:ZDB-GENE-040426-853	kdsr
ZFIN:ZDB-GENE-040426-837	ptdss1a
ZFIN:ZDB-GENE-040426-828	acad8
ZFIN:ZDB-GENE-040426-803	vldlr
ZFIN:ZDB-GENE-060929-938	srd5a1
ZFIN:ZDB-GENE-040808-45	alg6
UniProtKB:E7FBR1	smpd2b
ZFIN:ZDB-GENE-040426-789	b4galt6
ZFIN:ZDB-GENE-040426-784	abhd2a
ZFIN:ZDB-GENE-040426-771	acadl
ZFIN:ZDB-GENE-040426-743	pik3r3b
ZFIN:ZDB-GENE-110603-2	tlcd3bb
UniProtKB:E7FBD6	LOC794598
ZFIN:ZDB-GENE-040426-719	pemt
ZFIN:ZDB-GENE-980526-368	apoeb
ZFIN:ZDB-GENE-990415-45	pla2g4aa
ZFIN:ZDB-GENE-990415-44	cyp26a1
ZFIN:ZDB-GENE-990415-14	apoa1a
ZFIN:ZDB-GENE-050410-16	rpe65b
ZFIN:ZDB-GENE-050410-13	pik3c3
ZFIN:ZDB-GENE-061013-229	zgc:152891
ZFIN:ZDB-GENE-080220-59	hdhd5
ZFIN:ZDB-GENE-080220-34	pi4kab
ZFIN:ZDB-GENE-080220-32	cers3b
ZFIN:ZDB-GENE-080220-22	acsm3
ZFIN:ZDB-GENE-080220-15	hmgcll1
ZFIN:ZDB-GENE-040927-14	ttr
ZFIN:ZDB-GENE-051127-37	acot11b
ZFIN:ZDB-GENE-030131-4065	socs9
ZFIN:ZDB-GENE-051127-29	inpp5l
ZFIN:ZDB-GENE-051127-23	bpnt2
ZFIN:ZDB-GENE-051127-19	thnsl2
ZFIN:ZDB-GENE-100728-3	b4galnt1b
UniProtKB:F1QRI7	pip4k2cb
UniProtKB:F1QPV9	si:ch73-22a13.3
ZFIN:ZDB-GENE-020320-3	crabp1a
ZFIN:ZDB-GENE-051120-63	sdr42e1
ZFIN:ZDB-GENE-070702-4	apoba
ZFIN:ZDB-GENE-040426-1512	asah1b
ZFIN:ZDB-GENE-051120-48	pcyt1bb
ZFIN:ZDB-GENE-070410-59	dolk
ZFIN:ZDB-GENE-070410-38	cerkl
ZFIN:ZDB-GENE-070410-30	samd8
ZFIN:ZDB-GENE-070410-24	sgpl1
ZFIN:ZDB-GENE-060526-382	fdx1b
ZFIN:ZDB-GENE-060526-375	gal3st1a
ZFIN:ZDB-GENE-060929-148	apoda.1
